event,timestamp,button,finger,word
WORD_NEXT,1675369706042,None,None,Radio
TRIAL_START,1675369706042,None,None,None
CHAR_SELECTED,1675369708871,2,2,None
CHAR_SELECTED,1675369708938,3,2,None
CHAR_SELECTED,1675369709004,4,2,None
CHAR_SELECTED,1675369709150,5,2,None
CHAR_SELECTED,1675369709378,6,3,None
CHAR_SELECTED,1675369709440,7,3,None
CHAR_SELECTED,1675369709504,8,2,None
CHAR_SELECTED,1675369709571,9,2,None
CHAR_SELECTED,1675369710048,0,3,None
CHAR_SELECTED,1675369710117,A,3,None
CHAR_SELECTED,1675369710138,B,3,None
CHAR_SELECTED,1675369710174,C,2,None
CHAR_SELECTED,1675369710205,D,2,None
CHAR_SELECTED,1675369710244,E,2,None
CHAR_SELECTED,1675369710266,F,2,None
CHAR_SELECTED,1675369710319,G,2,None
CHAR_SELECTED,1675369710909,H,3,None
CHAR_SELECTED,1675369710943,I,3,None
CHAR_SELECTED,1675369710970,J,3,None
CHAR_SELECTED,1675369711012,K,2,None
CHAR_SELECTED,1675369711035,L,2,None
CHAR_SELECTED,1675369711084,M,2,None
CHAR_SELECTED,1675369711109,N,2,None
CHAR_SELECTED,1675369711570,O,3,None
CHAR_SELECTED,1675369711611,P,3,None
CHAR_SELECTED,1675369711702,Q,3,None
CHAR_SELECTED,1675369711713,R,2,None
CHAR_SELECTED,1675369711731,S,2,None
CHAR_SELECTED,1675369712378,R,3,None
CHAR_CLICKED,1675369714273,R,None,None
CHAR_SELECTED,1675369715530,S,3,None
CHAR_SELECTED,1675369715566,T,3,None
CHAR_SELECTED,1675369715598,U,3,None
CHAR_SELECTED,1675369715631,V,2,None
CHAR_SELECTED,1675369715674,W,2,None
CHAR_SELECTED,1675369715691,X,2,None
CHAR_SELECTED,1675369716239,Y,3,None
CHAR_SELECTED,1675369716261,Z,3,None
CHAR_SELECTED,1675369716299,SPACE,3,None
CHAR_SELECTED,1675369716332,ENTER,3,None
CHAR_SELECTED,1675369716360,1,2,None
CHAR_SELECTED,1675369716399,2,2,None
CHAR_SELECTED,1675369716424,3,2,None
CHAR_SELECTED,1675369716477,4,2,None
CHAR_SELECTED,1675369717400,5,3,None
CHAR_SELECTED,1675369717426,6,3,None
CHAR_SELECTED,1675369717456,7,3,None
CHAR_SELECTED,1675369717508,8,3,None
CHAR_SELECTED,1675369717530,9,3,None
CHAR_SELECTED,1675369717560,0,2,None
CHAR_SELECTED,1675369717595,A,2,None
CHAR_CLICKED,1675369719416,A,None,None
CHAR_SELECTED,1675369720619,B,3,None
CHAR_SELECTED,1675369720668,C,3,None
CHAR_SELECTED,1675369721527,D,3,None
CHAR_CLICKED,1675369722821,D,None,None
CHAR_SELECTED,1675369723879,E,3,None
CHAR_SELECTED,1675369723925,F,3,None
CHAR_SELECTED,1675369723956,G,3,None
CHAR_SELECTED,1675369723988,H,3,None
CHAR_SELECTED,1675369724015,I,3,None
CHAR_CLICKED,1675369725374,I,None,None
CHAR_SELECTED,1675369726609,J,3,None
CHAR_SELECTED,1675369726672,K,3,None
CHAR_SELECTED,1675369726682,L,3,None
CHAR_SELECTED,1675369726709,M,3,None
CHAR_SELECTED,1675369726760,N,2,None
