id,sex,age,mode,word,length,time,actions
4,female,44,drea,Radio,5,44.14,47
4,female,44,drea,SWR3,4,46.942,46
4,female,44,drea,Italien,7,65.447,69
4,female,44,drea,53119 Bonn,10,78.829,66
4,female,44,drea,Musik,5,79.115,92
4,female,44,drea,Tanken,6,87.065,84
4,female,44,drea,Strasse,7,121.42,145
4,female,44,drea,51674 Wiehl,11,166.338,142
4,female,44,drea,57462 Olpe,10,96.113,87
4,female,44,drea,RPR1,4,39.404,48
4,female,44,drea,51063 Koeln,11,75.301,82
4,female,44,drea,Max Muster,10,160.236,129
4,female,44,normal,Tanken,6,54.583,107
4,female,44,normal,Musik,5,37.786,66
4,female,44,normal,SWR3,4,30.466,43
4,female,44,normal,57462 Olpe,10,48.133,81
4,female,44,normal,51674 Wiehl,11,94.694,178
4,female,44,normal,Strasse,7,47.13,102
4,female,44,normal,51063 Koeln,11,81.166,128
4,female,44,normal,Italien,7,49.343,106
4,female,44,normal,WDR 4,5,40.443,68
4,female,44,normal,Radio,5,36.723,66
4,female,44,normal,Jane Doe,8,58.31,141
4,female,44,normal,02262 Wiehl,11,55.637,104
4,female,44,normal,Max Muster,10,61.648,123
4,female,44,normal,Auto,4,31.01,61
4,female,44,normal,RPR1,4,27.604,41
4,female,44,normal,Eminem,6,36.656,89
4,female,44,normal,54290 Trier,11,56.095,90
4,female,44,normal,53119 Bonn,10,43.124,85
4,female,44,normal,Navi,4,35.021,91
5,male,21,drea,54290 Trier,11,85.056,51
5,male,21,drea,Auto,4,37.504,25
5,male,21,drea,WDR 4,5,43.934,33
5,male,21,drea,Radio,5,37.134,37
5,male,21,drea,02262 Wiehl,11,57.232,81
5,male,21,drea,57462 Olpe,10,47.129,53
5,male,21,drea,Tanken,6,44.434,50
5,male,21,drea,Eminem,6,38.56,53
5,male,21,drea,SWR3,4,21.854,29
5,male,21,drea,Musik,5,22.793,32
5,male,21,drea,51063 Koeln,11,51.057,69
5,male,21,drea,Strasse,7,30.987,50
5,male,21,drea,RPR1,4,19.668,21
5,male,21,drea,51674 Wiehl,11,47.008,81
5,male,21,drea,Italien,7,40.804,49
5,male,21,drea,53119 Bonn,10,73.257,100
5,male,21,drea,Max Muster,10,50.663,70
5,male,21,drea,Navi,4,19.949,33
5,male,21,drea,Jane Doe,8,39.82,49
5,male,21,normal,Radio,5,27.591,86
5,male,21,normal,Jane Doe,8,71.947,151
5,male,21,normal,Italien,7,45.852,106
5,male,21,normal,WDR 4,5,24.659,68
5,male,21,normal,51063 Koeln,11,34.805,96
5,male,21,normal,Strasse,7,33.71,98
5,male,21,normal,53119 Bonn,10,54.386,87
5,male,21,normal,SWR3,4,26.982,41
5,male,21,normal,Max Muster,10,54.503,123
5,male,21,normal,Musik,5,45.98,72
5,male,21,normal,Auto,4,36.754,69
5,male,21,normal,RPR1,4,18.313,33
5,male,21,normal,Tanken,6,30.127,81
5,male,21,normal,Eminem,6,37.837,89
5,male,21,normal,57462 Olpe,10,46.737,83
5,male,21,normal,54290 Trier,11,41.645,100
5,male,21,normal,02262 Wiehl,11,50.688,108
5,male,21,normal,51674 Wiehl,11,42.137,82
5,male,21,normal,Navi,4,30.925,93
6,female,21,drea,Navi,4,50.867,39
6,female,21,drea,54290 Trier,11,66.291,53
6,female,21,drea,Italien,7,58.813,52
6,female,21,drea,51063 Koeln,11,64.959,71
6,female,21,drea,Eminem,6,48.435,61
6,female,21,drea,Auto,4,27.152,36
6,female,21,drea,02262 Wiehl,11,63.7,78
6,female,21,drea,WDR 4,5,67.117,66
6,female,21,drea,51674 Wiehl,11,69.249,86
6,female,21,drea,Radio,5,30.569,46
6,female,21,drea,57462 Olpe,10,53.708,59
6,female,21,drea,RPR1,4,34.139,39
6,female,21,drea,53119 Bonn,10,49.22,48
6,female,21,drea,Max Muster,10,55.056,78
6,female,21,drea,Jane Doe,8,43.179,42
6,female,21,drea,Strasse,7,32.407,43
6,female,21,drea,Tanken,6,38.395,40
6,female,21,drea,SWR3,4,22.905,28
6,female,21,drea,Musik,5,26.704,26
6,female,21,normal,Radio,5,28.883,80
6,female,21,normal,02262 Wiehl,11,77.979,146
6,female,21,normal,51674 Wiehl,11,74.561,134
6,female,21,normal,Tanken,6,33.852,87
6,female,21,normal,53119 Bonn,10,46.009,105
6,female,21,normal,Italien,7,37.994,120
6,female,21,normal,SWR3,4,31.389,63
6,female,21,normal,Auto,4,23.586,63
6,female,21,normal,Strasse,7,35.258,96
6,female,21,normal,57462 Olpe,10,46.098,97
6,female,21,normal,Navi,4,32.144,93
6,female,21,normal,RPR1,4,19.782,47
6,female,21,normal,Jane Doe,8,49.147,153
6,female,21,normal,51063 Koeln,11,49.304,112
6,female,21,normal,54290 Trier,11,66.893,106
6,female,21,normal,Max Muster,10,72.264,141
6,female,21,normal,Eminem,6,29.669,79
6,female,21,normal,WDR 4,5,31.363,76
6,female,21,normal,Musik,5,30.837,64
7,male,51,drea,51674 Wiehl,11,155.762,156
7,male,51,drea,Navi,4,63.503,59
7,male,51,drea,51063 Koeln,11,178.331,208
7,male,51,drea,Jane Doe,8,93.021,88
7,male,51,drea,54290 Trier,11,101.895,102
7,male,51,drea,Eminem,6,62.262,76
7,male,51,drea,Musik,5,74.818,154
7,male,51,drea,Tanken,6,98.802,137
7,male,51,drea,53119 Bonn,10,93.292,157
7,male,51,drea,Italien,7,83.566,117
7,male,51,drea,02262 Wiehl,11,103.843,138
7,male,51,drea,SWR3,4,44.269,52
7,male,51,drea,WDR 4,5,52.831,59
7,male,51,drea,Max Muster,10,85.274,93
7,male,51,drea,Auto,4,57.288,78
7,male,51,drea,Strasse,7,71.523,83
7,male,51,drea,RPR1,4,38.658,47
7,male,51,drea,57462 Olpe,10,66.786,67
7,male,51,drea,Radio,5,42.038,53
7,male,51,normal,Jane Doe,8,76.935,179
7,male,51,normal,Max Muster,10,46.804,137
7,male,51,normal,Strasse,7,48.585,114
7,male,51,normal,57462 Olpe,10,50.507,87
7,male,51,normal,54290 Trier,11,53.116,88
7,male,51,normal,Eminem,6,28.615,85
7,male,51,normal,53119 Bonn,10,48.683,95
7,male,51,normal,Navi,4,29.207,89
7,male,51,normal,RPR1,4,16.411,31
7,male,51,normal,Tanken,6,44.646,95
7,male,51,normal,WDR 4,5,29.724,74
7,male,51,normal,Italien,7,38.498,106
7,male,51,normal,Auto,4,26.65,81
7,male,51,normal,02262 Wiehl,11,54.389,92
7,male,51,normal,Musik,5,36.342,78
7,male,51,normal,Radio,5,29.158,70
7,male,51,normal,51063 Koeln,11,53.634,102
7,male,51,normal,SWR3,4,27.813,49
7,male,51,normal,51674 Wiehl,11,78.987,100
8,female,51,drea,Navi,4,72.616,26
8,female,51,drea,WDR 4,5,67.282,44
8,female,51,drea,51063 Koeln,11,107.602,81
8,female,51,drea,Italien,7,86.616,59
8,female,51,drea,Eminem,6,77.852,69
8,female,51,drea,Auto,4,48.637,50
8,female,51,drea,SWR3,4,98.701,88
8,female,51,drea,53119 Bonn,10,82.794,71
8,female,51,drea,Tanken,6,65.552,58
8,female,51,drea,Musik,5,51.637,51
8,female,51,drea,02262 Wiehl,11,78.471,89
8,female,51,drea,51674 Wiehl,11,111.736,96
8,female,51,drea,Jane Doe,8,120.964,73
8,female,51,drea,Radio,5,42.071,43
8,female,51,drea,RPR1,4,37.627,28
8,female,51,drea,Max Muster,10,75.316,68
8,female,51,drea,54290 Trier,11,90.809,74
8,female,51,drea,57462 Olpe,10,76.128,73
8,female,51,drea,Strasse,7,66.067,62
8,female,51,normal,51674 Wiehl,11,85.804,94
8,female,51,normal,Tanken,6,68.973,93
8,female,51,normal,Navi,4,49.495,111
8,female,51,normal,WDR 4,5,85.017,98
8,female,51,normal,Italien,7,92.647,144
8,female,51,normal,Jane Doe,8,80.936,171
8,female,51,normal,54290 Trier,11,80.377,86
8,female,51,normal,53119 Bonn,10,49.286,83
8,female,51,normal,Max Muster,10,55.512,131
8,female,51,normal,Eminem,6,41.474,81
8,female,51,normal,51063 Koeln,11,83.371,150
8,female,51,normal,57462 Olpe,10,53.8,85
8,female,51,normal,Strasse,7,53.413,104
8,female,51,normal,Auto,4,45.823,69
8,female,51,normal,02262 Wiehl,11,65.022,98
8,female,51,normal,SWR3,4,29.28,53
8,female,51,normal,Radio,5,30.712,60
8,female,51,normal,Musik,5,36.023,68
