event,timestamp,button,finger,word
WORD_NEXT,1675364387771,None,None,Tanken
TRIAL_START,1675364387771,None,None,None
CHAR_SELECTED,1675364399033,2,3,None
CHAR_SELECTED,1675364399190,3,3,None
CHAR_SELECTED,1675364399325,4,3,None
CHAR_SELECTED,1675364399426,5,2,None
CHAR_SELECTED,1675364399630,6,2,None
CHAR_SELECTED,1675364400057,7,3,None
CHAR_SELECTED,1675364400125,8,3,None
CHAR_SELECTED,1675364400171,9,3,None
CHAR_SELECTED,1675364400263,0,2,None
CHAR_SELECTED,1675364400622,A,3,None
CHAR_SELECTED,1675364400703,B,3,None
CHAR_SELECTED,1675364400856,C,2,None
CHAR_SELECTED,1675364401429,D,3,None
CHAR_SELECTED,1675364401556,E,2,None
CHAR_SELECTED,1675364401626,F,2,None
CHAR_SELECTED,1675364402064,G,3,None
CHAR_SELECTED,1675364402086,H,3,None
CHAR_SELECTED,1675364402389,I,2,None
CHAR_SELECTED,1675364402456,J,2,None
CHAR_SELECTED,1675364402519,K,2,None
CHAR_SELECTED,1675364402826,L,2,None
CHAR_SELECTED,1675364402887,M,2,None
CHAR_SELECTED,1675364403150,N,2,None
CHAR_SELECTED,1675364403228,O,2,None
CHAR_SELECTED,1675364403252,P,2,None
CHAR_SELECTED,1675364403557,Q,2,None
CHAR_SELECTED,1675364403620,R,2,None
CHAR_SELECTED,1675364404023,S,2,None
CHAR_SELECTED,1675364404085,T,3,None
CHAR_CLICKED,1675364406279,T,None,None
CHAR_SELECTED,1675364408675,S,4,None
CHAR_SELECTED,1675364408784,R,3,None
CHAR_SELECTED,1675364408878,Q,3,None
CHAR_SELECTED,1675364408975,P,3,None
CHAR_SELECTED,1675364409809,O,2,None
CHAR_SELECTED,1675364410339,N,3,None
CHAR_SELECTED,1675364410737,M,3,None
CHAR_SELECTED,1675364411212,L,2,None
CHAR_SELECTED,1675364411241,K,3,None
CHAR_SELECTED,1675364411270,J,4,None
CHAR_SELECTED,1675364411350,I,2,None
CHAR_SELECTED,1675364411606,H,3,None
CHAR_SELECTED,1675364411643,G,4,None
CHAR_SELECTED,1675364411671,F,4,None
CHAR_SELECTED,1675364411706,E,4,None
CHAR_SELECTED,1675364412003,D,3,None
CHAR_SELECTED,1675364412038,C,4,None
CHAR_SELECTED,1675364412068,B,4,None
CHAR_SELECTED,1675364412738,A,3,None
CHAR_CLICKED,1675364414471,A,None,None
CHAR_SELECTED,1675364415603,B,4,None
CHAR_SELECTED,1675364415766,C,4,None
CHAR_SELECTED,1675364415934,D,4,None
CHAR_SELECTED,1675364416001,E,3,None
CHAR_SELECTED,1675364416043,F,3,None
CHAR_SELECTED,1675364416407,G,3,None
CHAR_SELECTED,1675364416429,H,3,None
CHAR_SELECTED,1675364416460,I,2,None
CHAR_SELECTED,1675364416796,J,2,None
CHAR_SELECTED,1675364416863,K,3,None
CHAR_SELECTED,1675364416934,L,3,None
CHAR_SELECTED,1675364417460,M,3,None
CHAR_SELECTED,1675364417729,N,3,None
CHAR_CLICKED,1675364419221,N,None,None
CHAR_SELECTED,1675364420804,M,2,None
CHAR_SELECTED,1675364420895,L,2,None
CHAR_SELECTED,1675364420996,K,3,None
CHAR_CLICKED,1675364422610,K,None,None
CHAR_SELECTED,1675364423961,J,3,None
CHAR_SELECTED,1675364424018,I,4,None
CHAR_SELECTED,1675364424086,H,4,None
CHAR_SELECTED,1675364424521,G,3,None
CHAR_SELECTED,1675364424582,F,4,None
CHAR_SELECTED,1675364424719,E,4,None
CHAR_CLICKED,1675364426172,E,None,None
CHAR_SELECTED,1675364427454,D,2,None
CHAR_SELECTED,1675364427546,C,3,None
CHAR_SELECTED,1675364427581,B,2,None
CHAR_SELECTED,1675364428191,C,2,None
CHAR_SELECTED,1675364428619,D,3,None
CHAR_SELECTED,1675364428875,E,2,None
CHAR_SELECTED,1675364428947,F,2,None
CHAR_SELECTED,1675364429011,G,2,None
CHAR_SELECTED,1675364429310,H,2,None
CHAR_SELECTED,1675364429356,I,2,None
CHAR_SELECTED,1675364429379,J,2,None
CHAR_SELECTED,1675364429707,K,2,None
CHAR_SELECTED,1675364429779,L,2,None
CHAR_SELECTED,1675364429845,M,2,None
CHAR_SELECTED,1675364434243,N,3,None
CHAR_CLICKED,1675364436527,N,None,None
CHAR_SELECTED,1675364437793,O,3,None
CHAR_SELECTED,1675364437860,P,3,None
CHAR_SELECTED,1675364437897,Q,2,None
CHAR_SELECTED,1675364438393,R,3,None
CHAR_SELECTED,1675364438461,S,3,None
CHAR_SELECTED,1675364438859,T,2,None
CHAR_SELECTED,1675364439258,U,2,None
CHAR_SELECTED,1675364439759,V,2,None
CHAR_SELECTED,1675364439793,W,2,None
CHAR_SELECTED,1675364440227,X,2,None
CHAR_SELECTED,1675364440263,Y,2,None
CHAR_SELECTED,1675364440767,Z,2,None
CHAR_SELECTED,1675364440790,SPACE,2,None
CHAR_SELECTED,1675364440859,ENTER,2,None
WORD_DONE,1675364442354,None,None,Tanken
WORD_NEXT,1675364442355,None,None,Musik
CHAR_SELECTED,1675364447948,SPACE,3,None
CHAR_SELECTED,1675364448089,Z,3,None
CHAR_SELECTED,1675364448147,Y,3,None
CHAR_SELECTED,1675364448179,X,2,None
CHAR_SELECTED,1675364448648,W,3,None
CHAR_SELECTED,1675364448679,V,3,None
CHAR_SELECTED,1675364448712,U,3,None
CHAR_SELECTED,1675364448752,T,3,None
CHAR_SELECTED,1675364449111,S,4,None
CHAR_SELECTED,1675364449145,R,2,None
CHAR_SELECTED,1675364449177,Q,2,None
CHAR_SELECTED,1675364449207,P,2,None
CHAR_SELECTED,1675364449609,O,2,None
CHAR_SELECTED,1675364450280,N,2,None
CHAR_SELECTED,1675364451171,M,3,None
CHAR_CLICKED,1675364453015,M,None,None
CHAR_SELECTED,1675364455735,N,3,None
CHAR_SELECTED,1675364456234,O,3,None
CHAR_SELECTED,1675364456310,P,2,None
CHAR_SELECTED,1675364456897,Q,3,None
CHAR_SELECTED,1675364456998,R,3,None
CHAR_SELECTED,1675364457070,S,3,None
CHAR_SELECTED,1675364457165,T,3,None
CHAR_SELECTED,1675364457698,U,3,None
CHAR_CLICKED,1675364460673,U,None,None
CHAR_SELECTED,1675364461760,T,3,None
CHAR_SELECTED,1675364461785,S,3,None
CHAR_CLICKED,1675364463829,S,None,None
CHAR_SELECTED,1675364464749,R,2,None
CHAR_SELECTED,1675364464782,Q,6,None
CHAR_SELECTED,1675364464816,P,3,None
CHAR_SELECTED,1675364464851,O,2,None
CHAR_SELECTED,1675364465646,N,3,None
CHAR_SELECTED,1675364465713,M,4,None
CHAR_SELECTED,1675364465792,L,4,None
CHAR_SELECTED,1675364466218,K,3,None
CHAR_SELECTED,1675364466246,J,3,None
CHAR_SELECTED,1675364466313,I,4,None
CHAR_SELECTED,1675364466719,H,2,None
CHAR_SELECTED,1675364467486,I,4,None
CHAR_CLICKED,1675364469090,I,None,None
CHAR_SELECTED,1675364470481,H,3,None
CHAR_SELECTED,1675364471271,I,3,None
CHAR_SELECTED,1675364471371,J,2,None
CHAR_SELECTED,1675364471473,K,2,None
CHAR_SELECTED,1675364471538,L,2,None
CHAR_SELECTED,1675364472411,K,3,None
CHAR_CLICKED,1675364474072,K,None,None
CHAR_SELECTED,1675364475334,L,2,None
CHAR_SELECTED,1675364475398,M,2,None
CHAR_SELECTED,1675364475436,N,2,None
CHAR_SELECTED,1675364475472,O,2,None
CHAR_SELECTED,1675364475501,P,2,None
CHAR_SELECTED,1675364475962,Q,2,None
CHAR_SELECTED,1675364476036,R,2,None
CHAR_SELECTED,1675364476547,S,2,None
CHAR_SELECTED,1675364476593,T,2,None
CHAR_SELECTED,1675364476696,U,2,None
CHAR_SELECTED,1675364477271,V,2,None
CHAR_SELECTED,1675364477405,W,2,None
CHAR_SELECTED,1675364477462,X,2,None
CHAR_SELECTED,1675364477567,Y,2,None
CHAR_SELECTED,1675364478063,Z,3,None
CHAR_SELECTED,1675364478142,SPACE,2,None
CHAR_SELECTED,1675364478729,ENTER,2,None
WORD_DONE,1675364480141,None,None,Musik
WORD_NEXT,1675364480142,None,None,SWR3
CHAR_SELECTED,1675364483526,SPACE,3,None
CHAR_SELECTED,1675364483553,Z,4,None
CHAR_SELECTED,1675364483588,Y,4,None
CHAR_SELECTED,1675364483624,X,3,None
CHAR_SELECTED,1675364483986,W,2,None
CHAR_SELECTED,1675364484021,V,2,None
CHAR_SELECTED,1675364484103,U,2,None
CHAR_SELECTED,1675364484486,T,3,None
CHAR_SELECTED,1675364484517,S,3,None
CHAR_CLICKED,1675364486165,S,None,None
CHAR_SELECTED,1675364487017,T,2,None
CHAR_SELECTED,1675364487084,U,2,None
CHAR_SELECTED,1675364487146,V,2,None
CHAR_SELECTED,1675364490608,W,3,None
CHAR_CLICKED,1675364492244,W,None,None
CHAR_SELECTED,1675364493765,V,3,None
CHAR_SELECTED,1675364493834,U,3,None
CHAR_SELECTED,1675364493910,T,3,None
CHAR_SELECTED,1675364493943,S,4,None
CHAR_SELECTED,1675364494011,R,4,None
CHAR_SELECTED,1675364494103,Q,4,None
CHAR_SELECTED,1675364494773,R,4,None
CHAR_CLICKED,1675364496245,R,None,None
CHAR_SELECTED,1675364497798,S,2,None
CHAR_SELECTED,1675364497858,T,3,None
CHAR_SELECTED,1675364497928,U,2,None
CHAR_SELECTED,1675364498461,V,2,None
CHAR_SELECTED,1675364498498,W,2,None
CHAR_SELECTED,1675364498529,X,2,None
CHAR_SELECTED,1675364498966,Y,2,None
CHAR_SELECTED,1675364499130,Z,2,None
CHAR_SELECTED,1675364499524,SPACE,3,None
CHAR_SELECTED,1675364499596,ENTER,3,None
CHAR_SELECTED,1675364499628,1,3,None
CHAR_SELECTED,1675364499693,2,2,None
CHAR_SELECTED,1675364502523,3,3,None
CHAR_CLICKED,1675364505000,3,None,None
CHAR_SELECTED,1675364508315,4,4,None
CHAR_SELECTED,1675364508609,3,4,None
CHAR_SELECTED,1675364508675,2,4,None
CHAR_SELECTED,1675364508714,1,4,None
CHAR_SELECTED,1675364508815,ENTER,3,None
WORD_DONE,1675364510608,None,None,SWR3
WORD_NEXT,1675364510609,None,None,57462 Olpe
CHAR_SELECTED,1675364513936,1,2,None
CHAR_SELECTED,1675364513972,2,2,None
CHAR_SELECTED,1675364514636,3,3,None
CHAR_SELECTED,1675364514706,4,3,None
CHAR_SELECTED,1675364514801,5,4,None
CHAR_CLICKED,1675364516471,5,None,None
CHAR_SELECTED,1675364517704,6,3,None
CHAR_SELECTED,1675364518193,7,3,None
CHAR_CLICKED,1675364519594,7,None,None
CHAR_SELECTED,1675364521691,6,3,None
CHAR_SELECTED,1675364521823,5,3,None
CHAR_SELECTED,1675364523883,4,4,None
CHAR_SELECTED,1675364524615,3,3,None
CHAR_SELECTED,1675364525547,4,3,None
CHAR_CLICKED,1675364527998,4,None,None
CHAR_SELECTED,1675364528950,5,3,None
CHAR_SELECTED,1675364529044,6,3,None
CHAR_CLICKED,1675364530470,6,None,None
CHAR_SELECTED,1675364531445,5,3,None
CHAR_SELECTED,1675364531502,4,3,None
CHAR_SELECTED,1675364531570,3,4,None
CHAR_SELECTED,1675364531737,2,4,None
CHAR_CLICKED,1675364533690,2,None,None
CHAR_SELECTED,1675364535500,1,3,None
CHAR_SELECTED,1675364535529,ENTER,3,None
CHAR_SELECTED,1675364535607,SPACE,3,None
CHAR_CLICKED,1675364537115,SPACE,None,None
CHAR_SELECTED,1675364538559,Z,3,None
CHAR_SELECTED,1675364538589,Y,3,None
CHAR_SELECTED,1675364538626,X,3,None
CHAR_SELECTED,1675364538663,W,4,None
CHAR_SELECTED,1675364539161,V,3,None
CHAR_SELECTED,1675364539228,U,3,None
CHAR_SELECTED,1675364539262,T,4,None
CHAR_SELECTED,1675364539324,S,4,None
CHAR_SELECTED,1675364539824,R,3,None
CHAR_SELECTED,1675364539858,Q,4,None
CHAR_SELECTED,1675364539924,P,4,None
CHAR_SELECTED,1675364540035,O,4,None
CHAR_CLICKED,1675364541348,O,None,None
CHAR_SELECTED,1675364542721,N,3,None
CHAR_SELECTED,1675364542788,M,4,None
CHAR_SELECTED,1675364542987,L,4,None
CHAR_CLICKED,1675364544608,L,None,None
CHAR_SELECTED,1675364545600,M,3,None
CHAR_SELECTED,1675364545645,N,4,None
CHAR_SELECTED,1675364545682,O,4,None
CHAR_SELECTED,1675364545757,P,3,None
CHAR_SELECTED,1675364545780,Q,3,None
CHAR_SELECTED,1675364545885,R,3,None
CHAR_SELECTED,1675364546278,Q,3,None
CHAR_SELECTED,1675364546555,P,4,None
CHAR_CLICKED,1675364548122,P,None,None
CHAR_SELECTED,1675364550212,O,3,None
CHAR_SELECTED,1675364550242,N,3,None
CHAR_SELECTED,1675364550307,M,4,None
CHAR_SELECTED,1675364550410,L,5,None
CHAR_SELECTED,1675364550841,K,3,None
CHAR_SELECTED,1675364550909,J,4,None
CHAR_SELECTED,1675364550939,I,4,None
CHAR_SELECTED,1675364551143,H,3,None
CHAR_SELECTED,1675364551505,G,4,None
CHAR_SELECTED,1675364551569,F,4,None
CHAR_SELECTED,1675364551638,E,4,None
CHAR_CLICKED,1675364553184,E,None,None
CHAR_SELECTED,1675364556000,D,3,None
CHAR_SELECTED,1675364556038,C,3,None
CHAR_SELECTED,1675364556073,B,3,None
CHAR_SELECTED,1675364556093,A,3,None
CHAR_SELECTED,1675364556180,0,3,None
CHAR_SELECTED,1675364556600,9,3,None
CHAR_SELECTED,1675364556640,8,3,None
CHAR_SELECTED,1675364556694,7,3,None
CHAR_SELECTED,1675364556734,6,3,None
CHAR_SELECTED,1675364556797,5,4,None
CHAR_SELECTED,1675364557271,4,3,None
CHAR_SELECTED,1675364557299,3,3,None
CHAR_SELECTED,1675364557326,2,4,None
CHAR_SELECTED,1675364557377,1,4,None
CHAR_SELECTED,1675364557395,ENTER,4,None
WORD_DONE,1675364558742,None,None,57462 Olpe
WORD_NEXT,1675364558743,None,None,51674 Wiehl
CHAR_SELECTED,1675364560228,SPACE,3,None
CHAR_SELECTED,1675364560291,Z,4,None
CHAR_SELECTED,1675364560390,Y,3,None
CHAR_SELECTED,1675364560831,Z,3,None
CHAR_SELECTED,1675364560890,SPACE,3,None
CHAR_SELECTED,1675364560959,ENTER,3,None
CHAR_SELECTED,1675364561032,1,3,None
CHAR_SELECTED,1675364561056,2,3,None
CHAR_SELECTED,1675364561126,3,3,None
CHAR_SELECTED,1675364561853,4,3,None
CHAR_SELECTED,1675364562425,5,3,None
CHAR_CLICKED,1675364563843,5,None,None
CHAR_SELECTED,1675364564781,4,3,None
CHAR_SELECTED,1675364564849,3,3,None
CHAR_SELECTED,1675364564951,2,3,None
CHAR_SELECTED,1675364565016,1,4,None
CHAR_CLICKED,1675364567416,1,None,None
CHAR_SELECTED,1675364568543,2,4,None
CHAR_SELECTED,1675364568619,3,3,None
CHAR_SELECTED,1675364568714,4,3,None
CHAR_SELECTED,1675364569284,5,3,None
CHAR_SELECTED,1675364570792,6,3,None
CHAR_CLICKED,1675364572476,6,None,None
CHAR_SELECTED,1675364573519,7,3,None
CHAR_CLICKED,1675364575161,7,None,None
CHAR_SELECTED,1675364576172,6,3,None
CHAR_SELECTED,1675364576232,5,3,None
CHAR_SELECTED,1675364576446,4,3,None
CHAR_CLICKED,1675364578160,4,None,None
CHAR_SELECTED,1675364580202,3,4,None
CHAR_SELECTED,1675364580261,2,3,None
CHAR_SELECTED,1675364580327,1,3,None
CHAR_SELECTED,1675364580839,ENTER,3,None
CHAR_SELECTED,1675364580861,SPACE,3,None
CHAR_SELECTED,1675364580922,Z,3,None
CHAR_SELECTED,1675364580990,Y,4,None
CHAR_SELECTED,1675364581095,X,4,None
CHAR_SELECTED,1675364581760,W,3,None
CHAR_SELECTED,1675364584588,V,4,None
CHAR_SELECTED,1675364584618,U,4,None
CHAR_SELECTED,1675364584656,T,4,None
CHAR_SELECTED,1675364584694,S,4,None
CHAR_SELECTED,1675364584745,R,4,None
CHAR_SELECTED,1675364584820,Q,3,None
CHAR_SELECTED,1675364585383,P,3,None
CHAR_SELECTED,1675364585416,O,4,None
CHAR_SELECTED,1675364585451,N,4,None
CHAR_SELECTED,1675364585485,M,4,None
CHAR_SELECTED,1675364585560,L,4,None
CHAR_SELECTED,1675364586032,K,3,None
CHAR_SELECTED,1675364586078,J,4,None
CHAR_SELECTED,1675364586180,I,4,None
CHAR_SELECTED,1675364586311,H,4,None
CHAR_SELECTED,1675364586913,I,3,None
CHAR_SELECTED,1675364586987,J,3,None
CHAR_SELECTED,1675364589407,I,4,None
CHAR_SELECTED,1675364594684,H,3,None
CHAR_SELECTED,1675364594732,G,3,None
CHAR_SELECTED,1675364594867,F,3,None
CHAR_SELECTED,1675364596435,E,4,None
CHAR_SELECTED,1675364598660,F,4,None
CHAR_SELECTED,1675364598735,G,4,None
CHAR_SELECTED,1675364598801,H,3,None
CHAR_SELECTED,1675364598829,I,3,None
CHAR_SELECTED,1675364599301,H,3,None
CHAR_SELECTED,1675364599575,G,4,None
CHAR_SELECTED,1675364601102,H,3,None
CHAR_SELECTED,1675364604154,I,3,None
CHAR_SELECTED,1675364604186,J,3,None
CHAR_SELECTED,1675364604816,K,3,None
CHAR_SELECTED,1675364604913,L,3,None
CHAR_SELECTED,1675364605098,M,3,None
CHAR_SELECTED,1675364606117,L,3,None
CHAR_SELECTED,1675364611149,K,3,None
CHAR_SELECTED,1675364611277,J,3,None
CHAR_SELECTED,1675364611373,I,4,None
CHAR_SELECTED,1675364611472,H,4,None
CHAR_SELECTED,1675364612279,I,3,None
CHAR_SELECTED,1675364612305,J,3,None
CHAR_SELECTED,1675364612767,K,3,None
CHAR_SELECTED,1675364612801,L,3,None
CHAR_SELECTED,1675364612836,M,2,None
CHAR_SELECTED,1675364613203,N,3,None
CHAR_SELECTED,1675364613240,O,3,None
CHAR_SELECTED,1675364613269,P,3,None
CHAR_SELECTED,1675364613316,Q,3,None
CHAR_SELECTED,1675364613647,R,3,None
CHAR_SELECTED,1675364613668,S,3,None
CHAR_SELECTED,1675364613698,T,3,None
CHAR_SELECTED,1675364613754,U,2,None
CHAR_SELECTED,1675364613938,V,2,None
CHAR_SELECTED,1675364614038,W,3,None
CHAR_SELECTED,1675364614084,X,3,None
CHAR_SELECTED,1675364614111,Y,3,None
CHAR_SELECTED,1675364614138,Z,2,None
CHAR_SELECTED,1675364614607,SPACE,3,None
CHAR_CLICKED,1675364616414,SPACE,None,None
CHAR_SELECTED,1675364617427,Z,3,None
CHAR_SELECTED,1675364617530,Y,3,None
CHAR_SELECTED,1675364617727,X,3,None
CHAR_SELECTED,1675364617830,W,4,None
CHAR_SELECTED,1675364617898,V,4,None
CHAR_SELECTED,1675364617971,U,4,None
CHAR_SELECTED,1675364618157,V,4,None
CHAR_SELECTED,1675364618189,W,3,None
CHAR_SELECTED,1675364618227,X,3,None
CHAR_SELECTED,1675364618259,Y,3,None
CHAR_SELECTED,1675364618296,Z,3,None
CHAR_SELECTED,1675364618326,SPACE,2,None
CHAR_SELECTED,1675364618359,ENTER,2,None
CHAR_SELECTED,1675364619095,1,3,None
CHAR_SELECTED,1675364619161,2,3,None
CHAR_SELECTED,1675364619390,3,3,None
CHAR_SELECTED,1675364620556,2,3,None
CHAR_SELECTED,1675364620592,1,3,None
CHAR_SELECTED,1675364620632,ENTER,3,None
CHAR_SELECTED,1675364620653,SPACE,4,None
CHAR_SELECTED,1675364620687,Z,4,None
CHAR_SELECTED,1675364621129,Y,3,None
CHAR_SELECTED,1675364621186,X,3,None
CHAR_SELECTED,1675364621864,W,3,None
CHAR_CLICKED,1675364623285,W,None,None
CHAR_SELECTED,1675364624819,V,3,None
CHAR_SELECTED,1675364624855,U,3,None
CHAR_SELECTED,1675364624915,T,4,None
CHAR_SELECTED,1675364624957,S,3,None
CHAR_SELECTED,1675364625380,R,3,None
CHAR_SELECTED,1675364625447,Q,3,None
CHAR_SELECTED,1675364625550,P,4,None
CHAR_SELECTED,1675364625615,O,4,None
CHAR_SELECTED,1675364625680,N,2,None
CHAR_SELECTED,1675364626046,M,4,None
CHAR_SELECTED,1675364626077,L,4,None
CHAR_SELECTED,1675364626119,K,4,None
CHAR_SELECTED,1675364626147,J,3,None
CHAR_SELECTED,1675364626794,I,3,None
CHAR_CLICKED,1675364628012,I,None,None
CHAR_SELECTED,1675364629082,H,3,None
CHAR_SELECTED,1675364629312,G,3,None
CHAR_SELECTED,1675364629575,F,3,None
CHAR_SELECTED,1675364632638,E,3,None
CHAR_CLICKED,1675364634570,E,None,None
CHAR_SELECTED,1675364635597,F,4,None
CHAR_SELECTED,1675364635666,G,3,None
CHAR_SELECTED,1675364635711,H,4,None
CHAR_SELECTED,1675364635771,I,3,None
CHAR_SELECTED,1675364636440,H,3,None
CHAR_SELECTED,1675364637103,G,4,None
CHAR_SELECTED,1675364638360,H,4,None
CHAR_CLICKED,1675364639818,H,None,None
CHAR_SELECTED,1675364641135,I,3,None
CHAR_SELECTED,1675364641257,J,3,None
CHAR_SELECTED,1675364641756,K,3,None
CHAR_SELECTED,1675364642623,L,3,None
CHAR_CLICKED,1675364644354,L,None,None
CHAR_SELECTED,1675364645516,M,2,None
CHAR_SELECTED,1675364645580,N,2,None
CHAR_SELECTED,1675364645618,O,2,None
CHAR_SELECTED,1675364646252,P,3,None
CHAR_SELECTED,1675364646282,Q,3,None
CHAR_SELECTED,1675364646316,R,3,None
CHAR_SELECTED,1675364646354,S,2,None
CHAR_SELECTED,1675364646451,T,2,None
CHAR_SELECTED,1675364646910,U,3,None
CHAR_SELECTED,1675364646957,V,3,None
CHAR_SELECTED,1675364646979,W,2,None
CHAR_SELECTED,1675364647045,X,2,None
CHAR_SELECTED,1675364648213,Y,4,None
CHAR_SELECTED,1675364648279,Z,3,None
CHAR_SELECTED,1675364648342,SPACE,3,None
CHAR_SELECTED,1675364648810,ENTER,3,None
CHAR_SELECTED,1675364648914,1,3,None
CHAR_SELECTED,1675364649642,ENTER,3,None
CHAR_SELECTED,1675364649715,SPACE,4,None
CHAR_SELECTED,1675364649786,Z,4,None
CHAR_SELECTED,1675364650512,SPACE,3,None
CHAR_SELECTED,1675364651445,ENTER,3,None
WORD_DONE,1675364653437,None,None,51674 Wiehl
WORD_NEXT,1675364653442,None,None,Strasse
CHAR_SELECTED,1675364655534,SPACE,3,None
CHAR_SELECTED,1675364655599,Z,3,None
CHAR_SELECTED,1675364656038,Y,3,None
CHAR_SELECTED,1675364656065,X,4,None
CHAR_SELECTED,1675364656134,W,4,None
CHAR_SELECTED,1675364656625,V,3,None
CHAR_SELECTED,1675364656702,U,2,None
CHAR_SELECTED,1675364656728,T,2,None
CHAR_SELECTED,1675364656801,S,2,None
CHAR_CLICKED,1675364658425,S,None,None
CHAR_SELECTED,1675364661264,T,3,None
CHAR_CLICKED,1675364663437,T,None,None
CHAR_SELECTED,1675364665748,S,3,None
CHAR_SELECTED,1675364666843,R,3,None
CHAR_CLICKED,1675364668869,R,None,None
CHAR_SELECTED,1675364670143,Q,2,None
CHAR_SELECTED,1675364670210,P,2,None
CHAR_SELECTED,1675364670270,O,2,None
CHAR_SELECTED,1675364670372,N,2,None
CHAR_SELECTED,1675364670944,M,3,None
CHAR_SELECTED,1675364671010,L,3,None
CHAR_SELECTED,1675364671051,K,3,None
CHAR_SELECTED,1675364671107,J,4,None
CHAR_SELECTED,1675364671206,I,4,None
CHAR_SELECTED,1675364671742,H,3,None
CHAR_SELECTED,1675364671804,G,4,None
CHAR_SELECTED,1675364671838,F,4,None
CHAR_SELECTED,1675364671939,E,4,None
CHAR_SELECTED,1675364672535,D,3,None
CHAR_SELECTED,1675364672614,C,3,None
CHAR_SELECTED,1675364673297,B,4,None
CHAR_SELECTED,1675364673972,A,3,None
CHAR_CLICKED,1675364675538,A,None,None
CHAR_SELECTED,1675364676733,B,2,None
CHAR_SELECTED,1675364676797,C,3,None
CHAR_SELECTED,1675364676836,D,3,None
CHAR_SELECTED,1675364677394,E,3,None
CHAR_SELECTED,1675364677444,F,3,None
CHAR_SELECTED,1675364677458,G,2,None
CHAR_SELECTED,1675364677496,H,2,None
CHAR_SELECTED,1675364677529,I,2,None
CHAR_SELECTED,1675364677928,J,3,None
CHAR_SELECTED,1675364677993,K,3,None
CHAR_SELECTED,1675364678032,L,3,None
CHAR_SELECTED,1675364678091,M,2,None
CHAR_SELECTED,1675364678127,N,2,None
CHAR_SELECTED,1675364678590,O,3,None
CHAR_SELECTED,1675364678626,P,3,None
CHAR_SELECTED,1675364678691,Q,3,None
CHAR_SELECTED,1675364678730,R,3,None
CHAR_SELECTED,1675364678794,S,2,None
CHAR_SELECTED,1675364678860,T,2,None
CHAR_SELECTED,1675364679557,S,3,None
CHAR_SELECTED,1675364679699,R,3,None
CHAR_SELECTED,1675364680794,S,4,None
CHAR_CLICKED,1675364682416,S,None,None
CHAR_CLICKED,1675364684241,S,None,None
CHAR_SELECTED,1675364685911,R,3,None
CHAR_SELECTED,1675364685980,Q,3,None
CHAR_SELECTED,1675364686012,P,3,None
CHAR_SELECTED,1675364686116,O,3,None
CHAR_SELECTED,1675364686653,N,3,None
CHAR_SELECTED,1675364686681,M,3,None
CHAR_SELECTED,1675364686748,L,3,None
CHAR_SELECTED,1675364686782,K,3,None
CHAR_SELECTED,1675364686850,J,3,None
CHAR_SELECTED,1675364687242,I,3,None
CHAR_SELECTED,1675364687322,H,3,None
CHAR_SELECTED,1675364687343,G,3,None
CHAR_SELECTED,1675364687447,F,4,None
CHAR_SELECTED,1675364689745,E,4,None
CHAR_CLICKED,1675364691213,E,None,None
