event,timestamp,button,finger,word
WORD_NEXT,1675395353784,None,None,51674 Wiehl
TRIAL_START,1675395353784,None,None,None
CHAR_SELECTED,1675395366316,2,2,None
CHAR_SELECTED,1675395366585,3,2,None
CHAR_SELECTED,1675395366950,4,2,None
CHAR_SELECTED,1675395367212,5,2,None
CHAR_CLICKED,1675395373981,5,None,None
CHAR_SELECTED,1675395376896,4,4,None
CHAR_SELECTED,1675395377081,3,4,None
CHAR_SELECTED,1675395377365,2,4,None
CHAR_SELECTED,1675395377582,1,4,None
CHAR_CLICKED,1675395379565,1,None,None
CHAR_SELECTED,1675395381958,2,5,None
CHAR_SELECTED,1675395382166,3,5,None
CHAR_SELECTED,1675395382289,4,5,None
CHAR_SELECTED,1675395382624,5,5,None
CHAR_SELECTED,1675395384918,6,5,None
CHAR_CLICKED,1675395387581,6,None,None
CHAR_SELECTED,1675395389739,7,4,None
CHAR_CLICKED,1675395392488,7,None,None
CHAR_SELECTED,1675395393970,6,3,None
CHAR_SELECTED,1675395394166,5,3,None
CHAR_SELECTED,1675395394370,4,4,None
CHAR_CLICKED,1675395396573,4,None,None
CHAR_SELECTED,1675395397942,3,2,None
CHAR_SELECTED,1675395398006,2,2,None
CHAR_SELECTED,1675395398107,1,2,None
CHAR_SELECTED,1675395398203,ENTER,2,None
CHAR_SELECTED,1675395398300,SPACE,2,None
CHAR_CLICKED,1675395400729,SPACE,None,None
CHAR_SELECTED,1675395403990,Z,5,None
CHAR_SELECTED,1675395405058,Y,4,None
CHAR_SELECTED,1675395405213,X,5,None
CHAR_SELECTED,1675395405586,W,5,None
CHAR_CLICKED,1675395407581,W,None,None
CHAR_SELECTED,1675395411111,X,4,None
CHAR_SELECTED,1675395411170,Y,3,None
CHAR_SELECTED,1675395411271,Z,3,None
CHAR_SELECTED,1675395411374,SPACE,3,None
CHAR_SELECTED,1675395411578,ENTER,3,None
CHAR_SELECTED,1675395411802,1,2,None
CHAR_SELECTED,1675395412805,2,3,None
CHAR_SELECTED,1675395412906,3,2,None
CHAR_SELECTED,1675395413003,4,2,None
CHAR_SELECTED,1675395413640,5,4,None
CHAR_SELECTED,1675395413673,6,3,None
CHAR_SELECTED,1675395413767,7,3,None
CHAR_SELECTED,1675395413868,8,3,None
CHAR_SELECTED,1675395413935,9,3,None
CHAR_SELECTED,1675395414099,0,2,None
CHAR_SELECTED,1675395414233,A,2,None
CHAR_SELECTED,1675395415535,B,4,None
CHAR_SELECTED,1675395415605,C,4,None
CHAR_SELECTED,1675395415702,D,4,None
CHAR_SELECTED,1675395415764,E,3,None
CHAR_SELECTED,1675395415840,F,3,None
CHAR_SELECTED,1675395415975,G,3,None
CHAR_SELECTED,1675395416029,H,2,None
CHAR_SELECTED,1675395416251,I,2,None
CHAR_CLICKED,1675395418115,I,None,None
CHAR_SELECTED,1675395419460,H,2,None
CHAR_SELECTED,1675395419564,G,3,None
CHAR_SELECTED,1675395419660,F,3,None
CHAR_SELECTED,1675395419894,E,3,None
CHAR_CLICKED,1675395421556,E,None,None
CHAR_SELECTED,1675395422792,F,2,None
CHAR_SELECTED,1675395422954,G,3,None
CHAR_SELECTED,1675395423118,H,2,None
CHAR_CLICKED,1675395424435,H,None,None
CHAR_SELECTED,1675395426177,G,2,None
CHAR_SELECTED,1675395427310,H,2,None
CHAR_SELECTED,1675395427442,I,2,None
CHAR_SELECTED,1675395427578,J,2,None
CHAR_SELECTED,1675395428545,K,3,None
CHAR_SELECTED,1675395428861,L,3,None
CHAR_CLICKED,1675395430487,L,None,None
CHAR_SELECTED,1675395432306,M,4,None
CHAR_SELECTED,1675395432439,N,3,None
CHAR_SELECTED,1675395432576,O,3,None
CHAR_SELECTED,1675395432703,P,3,None
CHAR_SELECTED,1675395432810,Q,3,None
CHAR_SELECTED,1675395432940,R,3,None
CHAR_SELECTED,1675395433443,S,4,None
